Date,Open,High,Low,Close,Adj Close,Volume,CryptoName 
9/17/2014,"359,546,204","361,468,506","351,586,884","355,957,367","355,957,367",16389166,ETH
9/18/2014,"355,588,409","355,505,402","319,789,459","328,539,368","328,539,368",26691849,BTC
9/19/2014,"328,278,503","330,936,707","298,921,021","307,761,139","307,761,139",29560103,ETH
9/20/2014,"307,665,253","329,978,180","303,931,244","318,758,972","318,758,972",28736826,ETH
9/21/2014,"318,120,514","321,504,517","306,502,197","310,632,446","310,632,446",20702625,BTC
9/22/2014,"310,849,762","316,469,116","309,170,898","312,958,771","312,958,771",18776342,BTC
9/23/2014,"312,912,079","343,704,376","307,343,872","339,189,758","339,189,758",35102351,BTC
9/24/2014,"339,158,630","339,307,556","327,882,263","331,250,000","331,250,000",23972840,BTC
9/25/2014,"331,211,639","331,444,672","321,226,959","322,676,605","322,676,605",21022658,ETH
9/26/2014,"322,562,897","325,339,478","314,102,081","318,896,851","318,896,851",16922252,BTC
9/27/2014,"318,211,639","320,630,005","313,335,449","315,029,175","315,029,175",11850891,ETH
9/28/2014,"314,990,540","316,209,595","295,214,508","297,578,705","297,578,705",18629822,ETH
9/29/2014,"297,379,089","303,267,975","293,333,313","295,899,597","295,899,597",25610923,ETH
9/30/2014,"296,389,008","309,562,134","294,327,698","306,417,480","306,417,480",27484400,ETH
10/1/2014,"306,799,957","310,224,304","301,894,867","303,949,768","303,949,768",20782347,BTC
10/2/2014,"304,245,300","304,692,535","294,376,831","296,054,932","296,054,932",17189755,BTC
10/3/2014,"296,140,961","299,354,065","285,944,061","287,264,862","287,264,862",24691330,BTC
10/4/2014,"287,568,512","291,240,112","260,396,301","262,777,466","262,777,466",37743907,BTC
10/5/2014,"262,817,413","273,113,068","231,159,409","256,162,079","256,162,079",66582558,BTC
10/6/2014,"256,065,369","274,569,611","241,699,951","261,076,508","261,076,508",62494503,BTC
10/7/2014,"261,475,922","268,816,956","254,431,564","265,508,606","265,508,606",38856342,BTC
10/8/2014,"265,452,545","278,107,056","258,974,182","277,032,959","277,032,959",42964129,BTC
10/9/2014,"276,882,263","301,691,650","272,781,281","287,716,553","287,716,553",65926621,BTC
10/10/2014,"287,449,371","295,281,830","279,751,923","286,363,068","286,363,068",34583954,ETH
10/11/2014,"286,204,651","290,821,320","281,919,037","286,946,777","286,946,777",10569618,ETH
10/12/2014,"287,189,911","300,041,931","282,071,930","299,508,667","299,508,667",13887808,ETH
10/13/2014,"299,011,780","311,916,779","290,882,355","306,929,260","306,929,260",27689780,BTC
10/14/2014,"307,933,960","323,814,697","307,717,224","317,118,896","317,118,896",30449727,BTC
10/15/2014,"317,186,127","318,091,736","304,151,154","307,935,272","307,935,272",19709126,BTC
10/16/2014,"307,736,359","310,766,785","291,347,137","298,801,849","298,801,849",21080997,BTC
10/17/2014,"298,958,069","302,169,800","292,815,125","300,821,503","300,821,503",10661362,BTC
10/18/2014,"300,992,401","309,757,782","297,069,061","306,844,849","306,844,849",8949440,BTC
10/19/2014,"306,697,510","308,802,216","302,937,225","305,622,162","305,622,162",4640334,BTC
10/20/2014,"305,375,000","305,900,269","296,296,417","299,214,539","299,214,539",12832356,ETH
10/21/2014,"298,883,148","308,417,236","297,712,646","304,023,773","304,023,773",11161816,ETH
10/22/2014,"303,742,920","305,484,253","301,244,385","303,107,330","303,107,330",9209161,ETH
10/23/2014,"302,952,301","304,650,696","281,910,004","283,355,988","283,355,988",20916199,ETH
10/24/2014,"283,493,561","287,270,355","279,204,193","282,829,529","282,829,529",12301263,ETH
10/25/2014,"283,039,459","284,026,031","270,621,155","274,089,172","274,089,172",14307419,BTC
10/26/2014,"274,259,674","283,520,935","271,453,033","279,845,367","279,845,367",8893491,ETH
10/27/2014,"279,902,954","282,076,447","275,613,770","277,900,330","277,900,330",10260589,BTC
10/28/2014,"278,078,247","283,273,529","277,525,177","280,770,996","280,770,996",6159912,ETH
10/29/2014,"280,355,652","280,983,917","265,365,967","265,688,385","265,688,385",14403214,BTC
10/30/2014,"265,781,830","278,215,332","265,698,181","273,877,686","273,877,686",23935517,ETH
10/31/2014,"273,642,914","276,116,638","268,917,603","270,138,153","270,138,153",10017087,ETH
11/1/2014,"270,400,818","271,901,154","256,351,807","260,099,792","260,099,792",13316193,BTC
11/2/2014,"260,360,107","262,735,535","256,009,277","260,692,749","260,692,749",6882345,BTC
11/3/2014,"260,434,357","267,608,368","260,197,449","262,231,995","262,231,995",10366264,ETH
11/4/2014,"261,917,389","265,074,310","259,749,908","263,319,275","263,319,275",12473508,BTC
11/5/2014,"263,471,436","275,091,309","263,450,470","272,089,447","272,089,447",15882985,ETH
